No.,取得日,会社名,会社所在地,施設名称,施設所在地（勤務地),URL,抽出元URL
871.0,2024/02/12,ホテルモントレ株式会社,大阪府 大阪市浪速区湊町1-2-3 マルイト難波ビル20階,ホテルモントレ京都,京都府 京都市中京区烏丸通三条下ル饅頭屋町604,https://www.hotelmonterey.co.jp/kyoto/,https://www.hotelkyujin.com/hotel-detail?c_no=1788
872.0,2024/02/12,株式会社 KPG HOTEL&RESORT,静岡県 熱海市水口町11-48,ATAMI せかいえ,静岡県 熱海市伊豆山269,https://www.atamisekaie.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1793
873.0,2024/02/12,株式会社こがね,千葉県 館山市藤原1495-1,百年古民家 Auberge 季の音,千葉県 館山市山本695-1,https://tokinone.jp,https://www.hotelkyujin.com/hotel-detail?c_no=1812
874.0,2024/02/12,塩屋土地株式会社　ホテル事業部（ホテルアナガ）,兵庫県 南あわじ市阿那賀１１０９,ホテルアナガ,兵庫県 南あわじ市阿那賀１１０９,http://www.hotelanaga.com,https://www.hotelkyujin.com/hotel-detail?c_no=1832
875.0,2024/02/12,セコムフォートウエスト株式会社,兵庫県 神戸市灘区篠原北町3-11-14,コンフォートヒルズ六甲,兵庫県 神戸市灘区篠原北町3-11-14,https://www.secomfortwest.com/,https://www.hotelkyujin.com/hotel-detail?c_no=1842
876.0,2024/02/12,株式会社サウステラス,和歌山県 西牟婁郡白浜町2998-10,オーベルジュ　サウステラス,和歌山県 西牟婁郡白浜町2998-10,http://www.southterrace.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1853
877.0,2024/02/12,リバーリトリート雅樂倶,富山県 富山市春日56-2,リバーリトリート雅樂倶,富山県 富山市春日56-2,https://www.garaku.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1864
878.0,2024/02/12,ホテルモントレ株式会社,大阪府 大阪市浪速区湊町１丁目２-３,ホテルモントレ グラスミア大阪,大阪府 大阪市浪速区湊町１丁目２-３,https://www.hotelmonterey.co.jp/grasmere_osaka/,https://www.hotelkyujin.com/hotel-detail?c_no=1865
879.0,2024/02/12,株式会社 モアレリゾート,三重県 志摩市阿児町鵜方3373-11,汀渚 ばさら邸,三重県 志摩市阿児町鵜方3618-74,https://www.moire-resort.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=570
880.0,2024/02/12,パークハイアット 京都,京都府 京都市東山区高台寺桝屋町360,パークハイアット京都,京都府 京都市東山区高台寺桝屋町360,https://www.hyatt.com/ja-JP/hotel/japan/park-hyatt-kyoto/itmph,https://www.hotelkyujin.com/hotel-detail?c_no=2749
881.0,2024/02/12,株式会社ベステイト,東京都 台東区根岸3-6-23-12,モンタン博多,福岡県 福岡市博多区博多駅東3丁目6-11,https://www.montan.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3122
882.0,2024/02/12,Conrad Osaka合同会社,大阪府 大阪市北区中之島3丁目2番4号,コンラッド大阪,大阪府 大阪市中央区中之島三丁目2番4号,https://conrad-osaka.hiltonjapan.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2236
883.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー,コートヤード・バイ・マリオット東京ステーション,東京都 中央区京橋2-1-3,https://www.cytokyo.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3087
884.0,2024/02/12,株式会社アスコットジャパン,東京都 中央区築地4-1-12 サマセット銀座イースト東京,サマセット銀座イースト東京,東京都 中央区築地4-1-12 サマセット銀座イースト東京,https://www.discoverasr.com/ja/somerset-serviced-residence/japan/somerset-ginza-east-tokyo,https://www.hotelkyujin.com/hotel-detail?c_no=2168
885.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 野村證券ビル6階,箱根強羅温泉　ゆとりろ庵,神奈川県 足柄下郡箱根町強羅１３００ー１１９,https://www.yutorelo-an.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1884
886.0,2024/02/12,株式会社レゾネイト,大分県 竹田市久住町大字有氏1773番地,久住高原コテージ,大分県 竹田市久住町大字白丹7571-23,https://www.kujukogen.com/,https://www.hotelkyujin.com/hotel-detail?c_no=1885
887.0,2024/02/12,株式会社南風見観光,沖縄県 八重山郡竹富町字南風見508-205,谷地温泉,青森県 十和田市法量谷地１番地,https://www.yachionsen.com/,https://www.hotelkyujin.com/hotel-detail?c_no=1904
888.0,2024/02/12,株式会社ワタベアンドカンパニー,長野県 北佐久郡軽井沢町軽井沢東4-3,ホテルグランヴェール旧軽井沢,長野県 北佐久郡軽井沢町軽井沢東167,https://grandvert-kyukaruizawa.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1924
889.0,2024/02/12,The COURT株式会社,東京都 港区赤坂2ー5ー1 Ｓ-GATE赤坂山王4Ｆ,ホテルイーストチャイナシー,沖縄県 石垣市美崎町2-8,https://www.courthotels.co.jp/eastchinasea/,https://www.hotelkyujin.com/hotel-detail?c_no=1931
890.0,2024/02/12,株式会社湯郷グランドホテル,岡山県 美作市湯郷581-2,ポピースプリングス　リゾート＆スパ,岡山県 美作市湯郷538-1,http://www.poppy.co.jp,https://www.hotelkyujin.com/hotel-detail?c_no=1942
891.0,2024/02/12,株式会社ジェイウイング,富山県 南砺市立野原東1514,桜ヶ池クアガーデン,富山県 南砺市立野原東1514,https://sakuragaike.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1944
892.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5丁目17番9号 野村證券ビル6階,株式会社リロバケーションズ,東京都 新宿区新宿5丁目17番9号 野村證券ビル6階,https://relovacations.com/,https://www.hotelkyujin.com/hotel-detail?c_no=1946
893.0,2024/02/12,有限会社竜宮,熊本県 上天草市松島町合津6136-20,海のやすらぎ　ホテル竜宮,熊本県 上天草市松島町合津6136-20,https://www.ryugu.net/,https://www.hotelkyujin.com/hotel-detail?c_no=2002
894.0,2024/02/12,株式会社東京ヒューマニアエンタプライズ,東京都 港区台場1-9-1 ヒルトン東京お台場,ヒルトン東京お台場,東京都 港区台場1-9-1,https://www.hiltonodaiba.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2028
895.0,2024/02/12,株式会社海楽荘,岩手県 大船渡市大船渡町字丸森２９−１ 大船渡温泉,大船渡温泉,岩手県 大船渡市大船渡町字丸森２９−１ 大船渡温泉,https://oofunato-onsen.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2034
896.0,2024/02/12,池田創業株式会社,東京都 新宿区西新宿４ー３１ー１,HOTEL THE KNOT TOKYO Shinjuku,東京都 新宿区西新宿４ー３１ー１,http://hotel-the-knot.jp/tokyoshinjuku,https://www.hotelkyujin.com/hotel-detail?c_no=2051
897.0,2024/02/12,株式会社アクア・グリーン,静岡県 伊東市宇佐美3594-809,ホテルふたり木もれ陽,静岡県 伊東市宇佐美3594-809 ホテルふたり木もれ陽,https://komorebi.bz/,https://www.hotelkyujin.com/hotel-detail?c_no=2052
898.0,2024/02/12,玄竹株式会社,愛知県 刈谷市熊野町4-75-1,昼神の棲　玄竹,長野県 下伊那郡阿智村智里331-8 ＪＲ名古屋駅より中央本線で中津川駅まで60分、中津川駅から車で40分,http://www.kurotake.jp,https://www.hotelkyujin.com/hotel-detail?c_no=2070
899.0,2024/02/12,株式会社山人,岩手県 和賀郡西和賀町湯川52-71-10,山人-yamado-,岩手県 和賀郡西和賀町湯川52-71-10,https://www.yamado.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2099
900.0,2024/02/12,株式会社オールフロンティア,東京都 渋谷区神宮前5-47-12 パインビレッジアネックス 2F,海と入り陽の宿 帝水,秋田県 男鹿市 戸賀塩浜字壷ケ沢31,https://teisui.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2133
901.0,2024/02/12,有限会社ゆがわら,神奈川県 足柄下郡箱根町二ノ平1297-5 箱根強羅 白檀,箱根強羅 白檀,神奈川県 足柄下郡箱根町二ノ平1297-5 箱根強羅 白檀,http://www.byakudan.co.jp,https://www.hotelkyujin.com/hotel-detail?c_no=2147
902.0,2024/02/12,十勝シティデザイン株式会社,北海道 帯広市西2条南10丁目20-3,HOTEL NUPKA （ホテルヌプカ）,北海道 帯広市西2条南10丁目20-3,https://www.nupka.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2163
903.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ヴァークスイート箱根,神奈川県 神奈川県足柄下郡箱根町仙石原1290-455,https://stayle.jp/vshakone/,https://www.hotelkyujin.com/hotel-detail?c_no=2196
904.0,2024/02/12,株式会社宿楽,石川県 金沢市鞍月5丁目181番地 AUBEビル5F,株式会社宿楽（東京支店）,東京都 東京都千代田区九段南1-5-6 りそな九段ビル5F,https://www.yadoraku.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2216
905.0,2024/02/12,ABアコモ株式会社,東京都 千代田区神田神保町3丁目10番2号 共立ビル6F,ラ・ジェント・ホテル東京ベイ,千葉県 浦安市日の出5丁目,https://lagent.jp/tokyo-bay/,https://www.hotelkyujin.com/hotel-detail?c_no=2228
906.0,2024/02/12,株式会社阪神ホテルシステムズ,大阪府 大阪市北区梅田2-5-25,ザ・リッツ・カールトン大阪,大阪府 大阪市北区梅田2-5-25,https://www.ritzcarlton.com/jp/hotels/japan/osaka,https://www.hotelkyujin.com/hotel-detail?c_no=1731
907.0,2024/02/12,レスト株式会社,静岡県 熱海市網代591-103,山龢,静岡県 熱海市網代591-103,https://atami-sanga.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2505
908.0,2024/02/12,株式会社アゴーラ・ホテルマネジメント大阪,大阪府 守口市 河原町10番5号,ホテル アゴーラ 大阪守口,大阪府 守口市 河原町10番5号,https://www.hotelagora-moriguchi.com/,https://www.hotelkyujin.com/hotel-detail?c_no=144
909.0,2024/02/12,株式会社エイ・ピー・シー,東京都 新宿区百人町2-4-6 メイト新宿ビル5F,トスラブ箱根ビオーレ,神奈川県 足柄下郡箱根町元箱根110-108,https://apc-co.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2248
910.0,2024/02/12,株式会社一圓興産,滋賀県 彦根市佐和町6番15号 文教ビル2F,彦根キャッスル リゾート＆スパ,滋賀県 彦根市佐和町1番8号,https://www.hch.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2251
911.0,2024/02/12,株式会社ベストホスピタリティーネットワーク,東京都 港区海岸1-16-2,ザ ストリングス 表参道,東京都 港区北青山3-6-8,https://www.strings-hotel.jp/omotesando/,https://www.hotelkyujin.com/hotel-detail?c_no=2284
912.0,2024/02/12,スターツホテル開発株式会社,千葉県 浦安市日の出1-1-1,ホテル ルミエール 葛西 / ホテル ルミエール 西葛西,東京都 江戸川区中葛西5-41-20 / 西葛西6-20-3,https://www.hotel-lumiere.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2305
913.0,2024/02/12,株式会社稲取東海ホテル,静岡県 賀茂郡東伊豆町稲取1599-1,稲取東海ホテル湯苑,静岡県 賀茂郡東伊豆町稲取1599-1,https://tokai-h.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2318
914.0,2024/02/12,株式会社ザ・デイ・スパ・オペレーション,大阪府 大阪市中央区平野町1-8-14 北浜TDSビルヂング,ANAインターコンチネンタル万座ビーチリゾート 内　urumo Spa,沖縄県 国頭郡恩納村字瀬良垣2260番地 ANAインターコンチネンタル万座ビーチリゾート 内,https://www.thedayspa.jp/location/urumo-spa/,https://www.hotelkyujin.com/hotel-detail?c_no=2325
915.0,2024/02/12,株式会社ザ・デイ・スパ・オペレーション,大阪府 大阪市中央区平野町1-8-14 北浜TDSビルヂング,ロワジール スパタワー 那覇 内　CHURA SPA,沖縄県 那覇市西3-2-1 ロワジールホテル＆スパタワー那覇,https://www.thedayspa.jp/location/churaspa/,https://www.hotelkyujin.com/hotel-detail?c_no=2326
916.0,2024/02/12,ジャスマックプラザ株式会社,北海道 札幌市中央区南7条西3丁目425番地,ジャスマックプラザ,北海道 札幌市中央区南7条西3丁目425番地,https://www.jasmacplaza.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2329
917.0,2024/02/12,株式会社エイ・ピー・シー,東京都 新宿区百人町2-4-6 メイト新宿ビル5F,トスラブ館山ルアーナ,千葉県 館山市洲宮833-1,https://apc-co.com/shisetsu/toslove-luana/,https://www.hotelkyujin.com/hotel-detail?c_no=2362
918.0,2024/02/12,沖縄UDS株式会社,沖縄県 那覇市牧志 1-19-8,HOTEL LOCUS（ホテル ローカス）,沖縄県 宮古島平良下里338-40,https://okinawa-uds.co.jp/hotels/hotellocus/,https://www.hotelkyujin.com/hotel-detail?c_no=2384
919.0,2024/02/12,株式会社ホスピタリティオペレーションズ札幌,北海道 厚別区厚別中央2条5丁目5ー25,ホテルエミシア札幌,北海道 厚別区厚別中央2条5丁目5ー25,https://www.hotel-emisia.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2396
920.0,2024/02/12,有限会社 嵯峨沢館,静岡県 伊豆市門野原４００−１,湯宿 嵯峨沢館,静岡県 伊豆市門野原４００−１,https://www.sagasawakan.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2417
921.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5丁目17番9号 新宿野村證券ビル6階,ゆとりろ軽井沢ホテル,長野県 北佐久郡軽井沢町長倉1276,https://www.yutorelo-karuizawa.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2424
922.0,2024/02/12,住友不動産株式会社,東京都 新宿区西新宿2-4-1 新宿NSビル 19F,住友不動産株式会社,東京都 新宿区西新宿2-4-1 新宿NSビル 19F,https://www.sumitomo-latour.jp/latour/,https://www.hotelkyujin.com/hotel-detail?c_no=2462
923.0,2024/02/12,ホテルメルパルク広島,広島県 広島市中区基町３ー３６,ホテルメルパルク広島,広島県 広島市中区基町６ー３６,https://www.mielparque.jp/hiroshima/,https://www.hotelkyujin.com/hotel-detail?c_no=2502
924.0,2024/02/12,株式会社ネスタリゾート神戸,兵庫県 三木市細川町垂穂894-60,NESTA RESORT KOBE,兵庫県 三木市細川町垂穂894-60,https://nesta.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2513
925.0,2024/02/12,株式会社ホテルオークラエンタープライズ,東京都 江戸川区臨海町6-2-2 ホテルシーサイド江戸川,ホテルシーサイド江戸川,東京都 江戸川区臨海町6-2-2,http://www.h-seaside.jp,https://www.hotelkyujin.com/hotel-detail?c_no=2518
926.0,2024/02/12,株式会社イタリア軒,新潟県 新潟市中央区西堀通七番町１５７４番地,ホテルイタリア軒,新潟県 新潟市中央区西堀通七番町１５７４番地,https://www.italiaken.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2522
927.0,2024/02/12,株式会社一蔵,東京都 千代田区神田須田町２丁目５番地 京王神田須田町ビル７階,ネオス・ミラベル,山梨県 笛吹市石和町東高橋252,https://www.mirabell.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2536
928.0,2024/02/12,サンフロンティア佐渡株式会社,新潟県 佐渡市千種79-3,SADO RESORT HOTEL AZUMA,新潟県 佐渡市相川大浦548-1,https://hotel-azuma.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3304
929.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 野村證券ビル6階,鳴子風雅,宮城県 大崎市鳴子温泉湯元55,https://www.naruko-fuga.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2829
930.0,2024/02/12,株式会社 大倉,大阪府 大阪市北区西天満５丁目１番９号 大和地所南森町ビル６F,ザ グラン リゾート 和歌の浦,和歌山県 和歌山市田野87,https://www.granresort.jp/gr-member/hotel/wakanoura/,https://www.hotelkyujin.com/hotel-detail?c_no=2900
931.0,2024/02/12,株式会社 大倉,大阪府 大阪市北区西天満５丁目１番９号 大和地所南森町ビル６F,ザ グラン リゾート 赤穂,兵庫県 赤穂市尾崎宇丸山2298,https://www.granresort.jp/gr-member/hotel/akou/,https://www.hotelkyujin.com/hotel-detail?c_no=2902
932.0,2024/02/12,株式会社 大倉,大阪府 大阪市北区西天満５丁目１番９号 大和地所南森町ビル６F,ザ グラン リゾート エレガンテ 京都,京都府 京都市上京区中立売通堀川東入る東橋詰町66-3,https://www.granresort.jp/gr-member/hotel/kyoto/,https://www.hotelkyujin.com/hotel-detail?c_no=2903
933.0,2024/02/12,スターツホテル開発株式会社,千葉県 浦安市日の出1-1-1,ホテル ルミエール グランデ 流山おおたかの森,千葉県 流山市おおたかの森北1-2-2,https://www.hotel-lumiere.jp/nagareyama-otakanomori/,https://www.hotelkyujin.com/hotel-detail?c_no=3722
934.0,2024/02/12,TDCX Japan 株式会社,神奈川県 横浜市神奈川区金港町１−７ 横浜DIAビル２４階,TDCX Japan 株式会社,神奈川県 横浜市神奈川区金港町１−７ 横浜DIAビル２４階,https://www.tdcx.com/ja/,https://www.hotelkyujin.com/hotel-detail?c_no=3228
935.0,2024/02/12,パンテオン地所株式会社,東京都 港区東麻布3-2-1 狸穴アークビル,ホテル ミッドイン・川崎駅前,神奈川県 川崎市川崎区砂子2-7-7,https://www.midin.jp/kawasaki/index.html,https://www.hotelkyujin.com/hotel-detail?c_no=2235
936.0,2024/02/12,株式会社宝荘ホテル,愛媛県 松山市道後鷺谷町2-20,道後御湯,愛媛県 松山市道後鷺谷町2-20,https://www.dogomiyu.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3004
937.0,2024/02/12,株式会社ダイヤモンドソサエティ,大阪府 大阪市中央区粉川町2-9,あずみ野温泉ホテル,長野県 安曇野市穂高有明7326-5,https://www.diamond-s.co.jp/azumino/,https://www.hotelkyujin.com/hotel-detail?c_no=3050
938.0,2024/02/12,株式会社帝国ホテル,東京都 千代田区内幸町1-1-1,帝国ホテル東京,東京都 千代田区内幸町1-1-1,https://www.imperialhotel.co.jp/j/,https://www.hotelkyujin.com/hotel-detail?c_no=1113
939.0,2024/02/12,S.H.ホールディングス株式会社（シマダハウス株式会社）,東京都 渋谷区代々木三丁目二十二番地七 新宿文化クイントビル14F,ホテル＆レジデンス六本木,東京都 港区西麻布1丁目11番地6,https://hr-roppongi.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1239
940.0,2024/02/12,とれとれ市場南紀白浜株式会社,和歌山県 西牟婁郡白浜町堅田 2521番地,ブランシェット南紀白浜,和歌山県 西牟婁郡白浜町堅田2498-46,https://blanchette-ns.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3400
941.0,2024/02/12,京阪ホテルズ＆リゾーツ株式会社,京都府 京都市下京区東塩小路町680番地,ザ・サウザンド京都／京都センチュリーホテル,京都府 京都市下京区東塩小路町680番地,https://www.keihanhotels-resorts.co.jp/the-thousand-kyoto/,https://www.hotelkyujin.com/hotel-detail?c_no=3597
942.0,2024/02/12,株式会社GREENING,東京都 渋谷区宇田川町37-14 ６F,MUSTARDHOTEL,東京都 世田谷区北沢3-9-19,https://mustardhotel.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3598
943.0,2024/02/12,株式会社三井不動産ホテルマネジメント,東京都 中央区日本橋本町2-2-5,sequence MIYASHITA PARK,東京都 渋谷区神宮前6-20-10 MIYASHITAPARK north,https://www.sequencehotels.com/miyashita-park/,https://www.hotelkyujin.com/hotel-detail?c_no=3622
944.0,2024/02/12,株式会社三井不動産ホテルマネジメント,京都府 京都市下京区五条烏丸町409 sequenceKYOTOGOJO,sequence KYOTO GOJO,京都府 京都市下京区五条烏丸町409 sequenceKYOTOGOJO,https://www.sequencehotels.com/kyoto-gojo/,https://www.hotelkyujin.com/hotel-detail?c_no=3661
945.0,2024/02/12,株式会社アゴーラ・ホスピタリティーズ,東京都 港区虎ノ門5-2-6 虎ノ門第2ワイコービル7F,株式会社アゴーラ・ホスピタリティーズ【大阪】,大阪府 堺市堺区戎島町4-45-1 ホテル アゴーラ リージェンシー 大阪堺,https://www.agora.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1710
946.0,2024/02/12,株式会社パレスホテルマネジメント,東京都 千代田区丸の内1-1-1,Zentis Osaka,大阪府 大阪市北区堂島浜 1-4-26,https://zentishotels.com/ja/osaka/,https://www.hotelkyujin.com/hotel-detail?c_no=3870
947.0,2024/02/12,西酒造株式会社,鹿児島県 日置市吹上町与倉4970-17,レム鹿児島,鹿児島県 鹿児島市東千石町1-32 レム鹿児島,https://www.hankyu-hotel.com/hotel/remm/kagoshima,https://www.hotelkyujin.com/hotel-detail?c_no=3624
948.0,2024/02/12,サンフロンティアホテルマネジメント株式会社,東京都 千代田区有楽町1ー2ー2 東宝日比谷ビル8階,たびのホテル lit宮古島,沖縄県 宮古島市平良西里596,https://miyakojima.tabino-hotel.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3236
949.0,2024/02/12,裕進観光株式会社,京都府 京都市中京区堀川通り二条下る土橋町10番地,ANAクラウンプラザホテル京都,京都府 京都市中京区堀川通り二条下る土橋町10番地,https://www.anacpkyoto.com/,https://www.hotelkyujin.com/hotel-detail?c_no=883
950.0,2024/02/12,株式会社ＨＮＡ神戸,兵庫県 神戸市東灘区向洋町中2-13,神戸ベイシェラトンホテル＆タワーズ,兵庫県 神戸市東灘区向洋町中2-13,https://www.sheraton-kobe.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1268
951.0,2024/02/12,株式会社ニューコマンダーホテル,大阪府 寝屋川市木田町１７ー４,ニューコマンダーホテル大阪＜寝屋川＞,大阪府 寝屋川市木田町１７ー４,https://www.commander.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1685
952.0,2024/02/12,ニセコビレッジ株式会社,北海道 虻田郡ニセコ町曽我919-28,Higashiyama Niseko Village A Ritz・Carlton Reserve,北海道 虻田郡ニセコ町曽我919-28,https://www.ritzcarlton.com/jp/hotels/japan/higashiyama,https://www.hotelkyujin.com/hotel-detail?c_no=3743
953.0,2024/02/12,ヒューリックホテルマネジメント株式会社,東京都 中央区日本橋小舟町13-8,ビューホテルズ,東京都 台東区西浅草3-17-1,https://www.viewhotels.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3935
954.0,2024/02/12,株式会社重慶飯店（LOON MOONホールディングスグループ）】,神奈川県 横浜市中区山下町185番地,ローズホテル横浜,神奈川県 横浜市中区山下町77,https://www.rosehotelyokohama.com/,https://www.hotelkyujin.com/hotel-detail?c_no=4012
955.0,2024/02/12,スイスホテル大阪南海株式会社,大阪府 大阪市中央区難波5-1-60 スイスホテル南海大阪,スイスホテル南海大阪,大阪府 大阪市中央区難波5-1-60,https://swissotelnankaiosaka.com/ja/,https://www.hotelkyujin.com/hotel-detail?c_no=194
956.0,2024/02/12,ABアコモ株式会社,東京都 千代田区神田神保町3丁目10番2号 共立ビル6F,裏草津 蕩 TOU,群馬県 吾妻郡草津町大字草津３００,https://ab-accommo.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3510
957.0,2024/02/12,ヒルトン大阪,大阪府 大阪市北区梅田１−８−８,ヒルトン大阪,大阪府 大阪市北区梅田１−８−８,https://osaka.hiltonjapan.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1203
958.0,2024/02/12,Shiji Japan株式会社,東京都 文京区湯島３丁目３９ー１０ 上野THビル３階B,Shiji Japan株式会社,東京都 文京区湯島３丁目３９ー１０ 上野THビル３階B,https://japan.shijigroup.com/,https://www.hotelkyujin.com/hotel-detail?c_no=4056
959.0,2024/02/12,株式会社 長楽館,京都府 京都市東山区八坂鳥居前東入円山町604,長楽館,京都府 京都市東山区八坂鳥居前東入円山町604,https://www.chourakukan.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1000
960.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル4F,THE TENDER HOUSE,東京都 東京都港区白金台4-19-16,https://www.tender-house.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1881
961.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル 4F,長良川清流ホテル,岐阜県 岐阜市長良志段見 東山 537-3,https://nagaragawahotel.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3679
962.0,2024/02/12,レーキサイドホテルシステムズ株式会社,栃木県 日光市中宮祠2482番地,ザ・リッツ・カールトン日光,栃木県 日光市中宮祠2482番,https://www.ritzcarlton.com/jp/hotels/japan/nikko,https://www.hotelkyujin.com/hotel-detail?c_no=2935
963.0,2024/02/12,株式会社京都リゾーツマネジメント,京都府 京都市北区北野西白梅町27,アマン京都,京都府 京都市北区大北山鷲峯町1番,https://www.aman.com/ja-jp/resorts/aman-kyoto,https://www.hotelkyujin.com/hotel-detail?c_no=2920
964.0,2024/02/12,奈良ホスピタリティ・サービス株式会社,奈良県 奈良市三条大路1丁目1-1,JWマリオット・ホテル奈良,奈良県 奈良市三条大路1丁目1-1,https://www.marriott.co.jp/hotels/travel/osajw-jw-marriott-hotel-nara/,https://www.hotelkyujin.com/hotel-detail?c_no=3292
965.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル 4F,THE PENTHOUSE with weekend terrace,東京都 江東区豊洲２丁目２−１ ベイサイドクロス 36階 三井ガーデンホテル,https://restaurant-penthouse.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3683
966.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル 4F,現代里山料理 ZEN HOUSE,東京都 中央区銀座５丁目１１−１ ミレニアム三井ガーデンホテル東京 B1F,https://satoyama-zenhouse.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3682
967.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル 4F,高宮庭園茶寮,福岡県 福岡市南区高宮５丁目１６−１,https://takamiyagarden.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3678
968.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 4F A-PLACE恵比寿南ビル,THE LANDMARK SQUARE OSAKA（ザ ランドマークスクエア オオサカ）,大阪府 大阪市中央区大阪城1-1,http://www.landmark-osaka.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2353
969.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル4F,FOREST KITCHEN with Outdoor Living,宮城県 仙台市青葉区中央一丁目１ー１ ホテルメトロポリタン仙台イースト 3階,https://www.forestkitchen-outdoor.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2307
970.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル 4F,CEDAR THE CHOP HOUSE & BAR(セダーザチョップハウスアンドバー),東京都 港区六本木7丁目14ー4 レム六本木 2F,https://www.cedar-chophouse.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2250
971.0,2024/02/12,株式会社ポジティブドリームパーソンズ,東京都 東京都渋谷区恵比寿南1-15-1 A-PLACE恵比寿南ビル4F,The Living Room with SKY BAR（ザ リビングルーム ウィズ スカイバー）,愛知県 名古屋市中村区名駅4丁目11番27号,https://www.livingroom-skybar.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2132
